Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL S10;05/12/2023;5,77;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;DIESEL S10;05/12/2023;7,97;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;05/12/2023;7,95;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL S10;05/12/2023;7,97;;R$ / litro;IPIRANGA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL;06/12/2023;7,04;;R$ / litro;VIBRA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL S10;06/12/2023;7,09;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;DIESEL;06/12/2023;6,99;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;DIESEL S10;06/12/2023;7,04;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;DIESEL;06/12/2023;6,93;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;DIESEL S10;06/12/2023;6,98;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;DIESEL;06/12/2023;6,94;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;DIESEL S10;06/12/2023;6,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.; 02.817.655/0001-82;RODOVIA AL 220 - KM 06;S/N;;PLANALTO;57308-000;DIESEL;04/12/2023;6,28;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;GNV;04/12/2023;4,69;;R$ / m³;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0001-58;RODOVIA AL-110;678;KM    70;CANAFISTULA;57302-802;DIESEL;04/12/2023;6,39;;R$ / litro;BRANCA
NE;AL;ARAPIRACA;IBN PINTO E SILVA & CIA LTDA; 01.242.690/0002-39;AVENIDA EMIDIO DE LIMA,;23;;JARDIM ESPERANCA;57304-820;DIESEL;05/12/2023;6,19;;R$ / litro;IPIRANGA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO FREITAS & MAIA LTDA; 12.436.978/0001-80;RUA FLORIANO PEIXOTO;247;;CENTRO;57480-000;DIESEL S10;04/12/2023;6,78;;R$ / litro;VIBRA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;;CENTRO;57480-000;DIESEL;04/12/2023;6,78;;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;AUTO POSTO DA PEDRA LTDA; 05.518.639/0001-87;RUA FLORIANO PEIXOTO;281;;CENTRO;57480-000;DIESEL S10;04/12/2023;6,83;;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;;PEDRA VELHA;57480-000;DIESEL;05/12/2023;6,7;;R$ / litro;BRANCA
NE;AL;DELMIRO GOUVEIA;COMERCIO DE COMBUSTIVEIS NENZITA LTDA; 04.431.113/0001-00;AVENIDA CAXANGA;126;;PEDRA VELHA;57480-000;DIESEL S10;05/12/2023;6,74;;R$ / litro;BRANCA
NE;AL;RIO LARGO;CDA EMPREENDIMENTOS LTDA; 12.486.809/0004-05;RODOVIA BR 104 AL. KM 86;SN;;MATA DO ROLO;57100-000;GNV;04/12/2023;4,69;;R$ / m³;VIBRA
NE;AL;RIO LARGO;OLIVEIRA & FREITAS LTDA; 01.600.494/0001-08;LOTEAMENTO VILA RICA;S/N;LOTE  12                  QUADRAB;MATA DO ROLO;57100-000;DIESEL S10;04/12/2023;6,29;;R$ / litro;IPIRANGA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;GNV;04/12/2023;4,69;;R$ / m³;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;DIESEL;04/12/2023;5,79;;R$ / litro;VIBRA
NE;AL;RIO LARGO;AUTO POSTO FORENE LTDA; 05.459.764/0001-63;LOTEAMENTO SAO CAETANO;SN;LOTE  05 E 06             QUADRAF;PREFEITO ANTONIO LINS DE SOUZA;57100-000;DIESEL S10;04/12/2023;5,89;;R$ / litro;VIBRA
