Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;RS;PORTO ALEGRE;COMPANHIA ULTRAGAZ S A; 61.602.199/0065-87;AVENIDA CAIRU;989;;NAVEGANTES;90230-031;GLP;04/12/2023;105;;R$ / 13 kg;ULTRAGAZ
SE;MG;MONTES CLAROS;SUPERGASBRAS ENERGIA LTDA; 19.791.896/0070-24;AVENIDA DEP. PLINIO RIBEIRO;3220;;JARDIM PALMEIRAS;39402-194;GLP;06/12/2023;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;BA;ITABUNA;BAHIANA DISTRIBUIDORA DE GÁS LTDA; 46.395.687/0041-08;ROD BR 415;5075;KM 04;CENTRO INDUSTRIAL;45613-000;GLP;06/12/2023;105;;R$ / 13 kg;BAHIANA
NE;BA;JUAZEIRO;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA; 06.980.064/0035-21;AV 04;808;QUADRA I;DISTRITO INDUSTRIAL;48909-753;GLP;05/12/2023;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO VICENTE;CONSIGAZ DISTRIBUIDORA DE GÁS LTDA.; 01.597.589/0003-81;RUA MANOEL DE ABREU;790;QUADRA 108;CIDADE NAUTICA;11355-400;GLP;04/12/2023;99,99;;R$ / 13 kg;CONSIGAZ
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;GLP;06/12/2023;125;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;GLP;06/12/2023;127;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GLP;06/12/2023;118;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GLP;06/12/2023;118;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GLP;06/12/2023;107;;R$ / 13 kg;AMAZONGÁS
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0005-26;RUA BEIJA-FLOR;2501;;SAO FRANCISCO;69100-003;GLP;04/12/2023;135;;R$ / 13 kg;FOGAS
NE;BA;ILHEUS;COMERCIAL SAVOIA LTDA; 02.366.787/0001-35;AVENIDA RAYMUNDO SA BARRETO;S/N;LOTES 26 27 E 28;JARDIM SAVOIA;45658-250;GLP;07/12/2023;147;;R$ / 13 kg;BAHIANA
NE;BA;JEQUIE;COMERCIO DE DERIVADOS DE PETRÓLEO BARRETO LTDA.; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;0;CENTRO;45200-130;GLP;04/12/2023;85;;R$ / 13 kg;BRANCA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GLP;04/12/2023;92;;R$ / 13 kg;LIQUIGÁS
NE;CE;MARACANAU;J P COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 08.286.434/0001-01;AVENIDA VI (CJ JEREISSATI I);579;;JEREISSATI I;61900-670;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
NE;CE;MARACANAU;POSTO BOTO LTDA; 03.020.995/0001-40;AVENIDA PADRE JOSE HOLANDA DO VALE;809;;PIRATININGA;61905-000;GLP;07/12/2023;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;DF;BRASILIA;AUTO SHOPPING DERIVADOS DE PETROLEO LTDA; 37.063.328/0009-14; QI 19 LOTES 02 E 04;S/N;SETOR INDUSTRIAL;TAGUATINGA;72120-190;GLP;04/12/2023;94,99;;R$ / 13 kg;ULTRAGAZ
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;04/12/2023;94,99;;R$ / 13 kg;ULTRAGAZ
SE;ES;LINHARES;POSTO OURO NEGRO LTDA; 02.468.894/0001-74;AVENIDA SAMUEL BATISTA CRUZ;2319;;COLINA;29901-401;GLP;04/12/2023;110;;R$ / 13 kg;BRANCA
SE;ES;SAO MATEUS;POSTO SD LTDA.; 00.762.780/0002-98;AVENIDA GURIRI;154;;GURIRI;29930-000;GLP;05/12/2023;100;;R$ / 13 kg;BRANCA
CO;GO;ANAPOLIS;LESSA GUIMARAES DERIVADOS DE PETROLEO LTDA; 04.792.468/0001-17;AVENIDA FERNANDO COSTA;828;;VILA JAIARA;75064-780;GLP;05/12/2023;100;;R$ / 13 kg;LIQUIGÁS
CO;GO;CATALAO;AUTO POSTO NOGUEIRA LTDA; 02.172.567/0001-70;AVENIDA DR LAMARTINE P AVELAR;3230;;SETOR AEROPORTO;75704-260;GLP;07/12/2023;110;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0006-23;UNIDADE DUZENTOS E TRES;6000;;CIDADE OPERARIA;65058-000;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;AUTO POSTO BARBOZA LTDA; 05.697.124/0001-91;RUA V;1;QUADRA 22;PLANALTO ANIL III;65066-290;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0004-61;AVENIDA DA SAUDADE;1;SAO RAIMUNDO;VILA CASCAVEL;65058-200;GLP;05/12/2023;95;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65099-110;GLP;07/12/2023;94,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0001-19;AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO;22;;FORQUILHA;65054-015;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
SE;MG;GOVERNADOR VALADARES;POSTO DA ILHA LTDA; 64.310.709/0001-76;AVENIDA MUCURI;475;;ILHA DOS ARAUJOS;35020-370;GLP;05/12/2023;110;;R$ / 13 kg;BRANCA
SE;MG;JOAO PINHEIRO;AUTO POSTO RDG LTDA; 08.418.219/0001-17;RODOVIA BR 040;S/N;KM 143;MARIA JOSE DE PAULA;38770-000;GLP;04/12/2023;108;;R$ / 13 kg;BRANCA
SE;MG;JOAO PINHEIRO;SAYONARA COMERCIO DE PETROLEO LTDA; 23.761.448/0001-23;RODOVIA MARGENS RODOVIA BR 040 KM 143;SN;;CENTRO;38770-000;GLP;04/12/2023;110;;R$ / 13 kg;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;JACARE AUTO POSTO LTDA; 20.423.562/0001-55;AVENIDA OLIVEIRA REZENDE;1016;;CENTRO;37950-000;GLP;07/12/2023;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MS;CAMPO GRANDE;VITORIA COMERCIO E TRANSPORTES LTDA.; 02.422.918/0001-54;RUA GAL. BERTOLDO KLINGER;2616;;JARDIM FLUMINENSE;79116-020;GLP;06/12/2023;99;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;RIBEIRO DE MENDONCA BASTON & CIA LTDA; 16.045.015/0001-06;AVENIDA AFONSO PENA;5264;;CHACARA CACHOEIRA;79040-010;GLP;06/12/2023;135,5;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;YONAMINE & CIA LTDA; 03.228.111/0001-48;AVENIDA CALOGERAS;1472;;CENTRO;79002-003;GLP;06/12/2023;93;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;TROKAR POSTOS DE SERVICOS LTDA; 02.969.905/0001-08;RUA JOSE ANTONIO PEREIRA;260;;CENTRO;79002-400;GLP;06/12/2023;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;AUTO POSTO CASTELO LTDA; 01.742.740/0001-66;RUA 14 DE JULHO;4763;;MONTE CASTELO;79010-470;GLP;06/12/2023;104;;R$ / 13 kg;COPA ENERGIA
CO;MS;DOURADOS;POSTO DE SERVICO SANTO ANTONIO LTDA; 00.212.779/0001-09;AVENIDA GUAICURUS;820;;PARQUE ALVORADA;79823-490;GLP;04/12/2023;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;DOURADOS;GABIATTI & GABIATTI LTDA; 04.075.654/0001-35;RUA CORONEL PONCIANO;2230;;VILA INDUSTRIAL;79840-230;GLP;04/12/2023;96;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;NOVA ANDRADINA;AUTO POSTO SANTA CLARA LTDA; 04.354.710/0001-70;AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE;2551;;CENTRO;79750-000;GLP;07/12/2023;110;;R$ / 13 kg;BRANCA
N;PA;ABAETETUBA;P CARVALHO & CIA LTDA; 14.140.909/0001-50;AVENIDA DOM PEDRO II;1610;;SANTA ROSA;68440-000;GLP;04/12/2023;95;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;ABAETETUBA;E CARVALHO COMERCIO E NAVEGACAO LTDA; 04.780.565/0002-70;RUA JUSTO CHERMONT;345;;;68440-000;GLP;04/12/2023;107;;R$ / 13 kg;BRANCA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0003-30;AVENIDA PEDRO ALVARES CABRAL;3800;;SACRAMENTA;66120-620;GLP;06/12/2023;107,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;SUPERCENTRO POSTOS DE SERVIÇO LTDA; 05.303.828/0001-32;AVENIDA ALMIRANTE BARROSO;1814;B;MARCO;66093-020;GLP;04/12/2023;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;DUARTE & SANTOS LTDA; 22.960.942/0002-35;AVENIDA PEDRO ALVARES CABRAL;17;PSG SANTOS DUMONT;TELEGRAFO;66050-400;GLP;06/12/2023;99,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO GIRASSOL LTDA; 01.087.686/0001-62;RODOVIA AUGUSTO MONTENEGRO;1800;;NOVA MARAMBAIA;66623-590;GLP;04/12/2023;105;;R$ / 13 kg;ULTRAGAZ
N;PA;BELEM;POSTO ALIANCA EIRELI; 14.685.994/0001-31;RODOVIA ARTHUR BERNARDES;151;ESQ PEDRO A CABRAL;SACRAMENTA;66825-000;GLP;04/12/2023;109,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;POSTO UMARIZAL LTDA; 14.082.648/0001-69;RUA JERONIMO PIMENTEL;651;;UMARIZAL;66055-000;GLP;04/12/2023;110;;R$ / 13 kg;BRANCA
N;PA;BELEM;AUTO POSTO SENADOR LTDA; 05.319.538/0001-87;AVENIDA SENADOR LEMOS;3606;;SACRAMENTA;66630-505;GLP;06/12/2023;111;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0008-45;TRAVESSA D. ROMUALDO COELHO;301;;UMARIZAL;66630-505;GLP;04/12/2023;107,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;IRMAOS TEIXEIRA LTDA; 04.976.718/0012-21;AVENIDA PEDRO ALVARES CABRAL;1020;;MARAMBAIA;66615-860;GLP;04/12/2023;107,99;;R$ / 13 kg;BAHIANA
N;PA;BELEM;CM COMERCIO DE COMBUSTIVEIS LTDA; 04.970.059/0001-63;AVENIDA SENADOR LEMOS;2053;;TELEGRAFO;66113-000;GLP;06/12/2023;97;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;BELEM;POSTO ANTUNES LTDA; 04.060.518/0001-71;TRAVESSA RUI BARBOSA;2083;;BATISTA CAMPOS;66035-220;GLP;06/12/2023;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;CAMPINA GRANDE;NOBREGA COMBUSTIVEIS LIMITADA; 00.497.918/0001-98;RUA JOAQUIM CAROCA;517;;UNIVERSITARIO;58429-120;GLP;08/12/2023;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;CAMPINA GRANDE;POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA; 08.587.065/0001-97;RUA DR VASCONCELOS;127;;ALTO BRANCO;58102-501;GLP;07/12/2023;95;;R$ / 13 kg;BRANCA
NE;PE;JABOATAO DOS GUARARAPES;POSTO JARDIM PIEDADE LTDA; 06.251.430/0001-62;RUA SAO SEBASTIAO;791;;PIEDADE;54410-500;GLP;04/12/2023;90;;R$ / 13 kg;MINASGAS
NE;PE;PETROLINA;MARIA LEOCADIA DE SOUZA & CIA COMERCIO DE GLP LTDA; 06.034.782/0001-66;RUA RIO BEBERIBE;70;;JOSE E MARIA;56320-370;GLP;06/12/2023;105;;R$ / 13 kg;LIQUIGÁS
